label,git_branch,git_commit,benchmark,description,dataset_kind,repeat_index,elapsed_seconds,call_kwargs,rows,cols,missing_ratio,masked_total,mask_kind,rmse,mae,accuracy,coverage,remaining_missing_total,numeric_cols,categorical_cols
strategy-04-serial-numba-plus-fast-ridge,perf/strategy-04-serial-numba-plus-fast-ridge,da00d4f,numeric_mar_medium,5000x25 float32 array with 8% MAR missingness.,array,0,2.952145599992946,{},5000,25,0.080648,10081,mar,0.5515878796577454,0.4296626150608063,,1.0,0,,
strategy-04-serial-numba-plus-fast-ridge,perf/strategy-04-serial-numba-plus-fast-ridge,da00d4f,numeric_mar_medium,5000x25 float32 array with 8% MAR missingness.,array,1,2.984695899998769,{},5000,25,0.080648,10081,mar,0.5515878796577454,0.4296626150608063,,1.0,0,,
strategy-04-serial-numba-plus-fast-ridge,perf/strategy-04-serial-numba-plus-fast-ridge,da00d4f,numeric_feature_selection,3500x80 float32 array with 8% MAR and sampled nearest features.,array,0,1.9794897999381647,{'n_nearest_features': 12},3500,80,0.08038928571428572,22509,mar,0.5035240054130554,0.39667215943336487,,1.0,0,,
strategy-04-serial-numba-plus-fast-ridge,perf/strategy-04-serial-numba-plus-fast-ridge,da00d4f,numeric_feature_selection,3500x80 float32 array with 8% MAR and sampled nearest features.,array,1,1.956489700009115,{'n_nearest_features': 12},3500,80,0.08038928571428572,22509,mar,0.5035240054130554,0.39667215943336487,,1.0,0,,
strategy-04-serial-numba-plus-fast-ridge,perf/strategy-04-serial-numba-plus-fast-ridge,da00d4f,numeric_wide_light_missing,2500x120 float32 array with 4% MAR missingness.,array,0,6.596601500059478,{},2500,120,0.03966,11898,mar,0.7288858294487,0.5673931837081909,,1.0,0,,
strategy-04-serial-numba-plus-fast-ridge,perf/strategy-04-serial-numba-plus-fast-ridge,da00d4f,numeric_wide_light_missing,2500x120 float32 array with 4% MAR missingness.,array,1,6.587898899917491,{},2500,120,0.03966,11898,mar,0.7288858294487,0.5673931837081909,,1.0,0,,
strategy-04-serial-numba-plus-fast-ridge,perf/strategy-04-serial-numba-plus-fast-ridge,da00d4f,mixed_dataframe_mar,"4000-row mixed dataframe with numeric, categorical, string, and boolean columns.",dataframe,0,0.7569659000728279,{},4000,9,0.10211111111111111,3676,mar,7914.160750183523,2758.2522052298677,0.9467238211879976,1.0,0,5.0,4.0
strategy-04-serial-numba-plus-fast-ridge,perf/strategy-04-serial-numba-plus-fast-ridge,da00d4f,mixed_dataframe_mar,"4000-row mixed dataframe with numeric, categorical, string, and boolean columns.",dataframe,1,0.7957850999664515,{},4000,9,0.10211111111111111,3676,mar,7914.160750183523,2758.2522052298677,0.9467238211879976,1.0,0,5.0,4.0
